issuerName,issuerTradingSymbol:ID(Company),form,sector,marketCap:double,:LABEL
Immune Design Corp.,IMDZ,Form 4,Health Care,282403939.76,Company
HURCO COMPANIES INC,HURC,Form 4,Capital Goods,279583548.51,Company
"CCE Spinco, Inc.",LYV,Form 4,Consumer Services,13219100743.0,Company
WALT DISNEY CO/,DIS,Form 4,Consumer Services,170082720890.67,Company
"FORUM ENERGY TECHNOLOGIES, INC.",FET,Form 4,Energy,620917247.7,Company
"VeriFone Holdings, Inc.",PAY,Form 4,unknown,,Company
Energous Corp,WATT,Form 4,Technology,163836432.12,Company
Alkermes plc.,ALKS,Form 4,Health Care,5231994778.36,Company
"XTEN NETWORKS, INC",XNWK,Form 4,unknown,,Company
Broadcom Ltd,AVGO,Form 4,Technology,107427338447.79,Company
"Natera, Inc.",NTRA,Form 4,Health Care,1226581553.28,Company
ILLUMINA INC,ILMN,Form 4,Capital Goods,45315690000.0,Company
"Kindred Biosciences, Inc.",KIN,Form 4,Health Care,356690313.72,Company
ADOBE SYSTEMS INC,ADBE,Form 4,Technology,129312187215.56,Company
Western Uranium Corp,WSTRF,Form 4,unknown,,Company
ALASKA AIR GROUP INC,ALK,Form 4,Transportation,6898212452.3,Company
"Digital Realty Trust, Inc.",DLR,Form 4,Consumer Services,24101330956.74,Company
UNISYS CORP,UIS,Form 4,Technology,669573965.12,Company
PICO HOLDINGS INC /NEW,PICO,Form 4,Finance,222565620.64,Company
"Heritage-Crystal Clean, Inc.",HCCI,Form 4,Basic Industries,550670926.74,Company
"RSP Permian, Inc.",RSPP,Form 4,unknown,,Company
CADIZ INC,CDZI,Form 4,Public Utilities,241247860.56,Company
"TILLY'S, INC.",TLYS,Form 4,Consumer Services,346098804.18,Company
Mallinckrodt plc,MNK,Form 4,Health Care,1830429775.36,Company
KILROY REALTY CORP,KRC,Form 4,Consumer Services,7563229720.2,Company
SYNNEX CORP,SNX,Form 4,Technology,4874578787.24,Company
"PTC THERAPEUTICS, INC.",PTCT,Form 4,Health Care,2046979514.9,Company
"Summit Materials, Inc.",SUM,Form 4,Basic Industries,1896189473.28,Company
"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",JLLM,Form 4,unknown,,Company
Shake Shack Inc.,SHAK,Form 4,Consumer Services,1969572294.03,Company
Accenture plc,ACN,Form 4,Miscellaneous,104826773460.77,Company
ALFA INTERNATIONAL CORP,TYBR,Form 4,unknown,,Company
FIRST FINANCIAL BANCORP /OH/,FFBC,Form 4,Finance,2539432762.71,Company
DATALINK CORP,DTLK,Form 4,unknown,,Company
NORTHEAST UTILITIES SYSTEM,NU,Form 4,unknown,,Company
NUVEEN SENIOR INCOME FUND,NSL,Form 4,unknown,,Company
PENTAIR INC,PNR,Form 4,Technology,7332649085.85,Company
GENCO SHIPPING & TRADING LTD,GSTL,Form 4,unknown,,Company
Pfenex Inc.,PFNX,Form 4,Health Care,151326058.39,Company
WEBDIGS INC,[NONE],Form 4,unknown,,Company
CAMDEN PROPERTY TRUST,(CPT),Form 4,unknown,,Company
"LUCAS ENERGY, INC.",LUCE,Form 4,unknown,,Company
"CEMPRA, INC.",CEMP,Form 4,unknown,,Company
IRADIMED CORP,IRMD,Form 4,Health Care,268548009.84,Company
COUPONS.com Inc,COUP,Form 4,Technology,5347659965.44,Company
KBL Healthcare Acquisition Corp. II,KBLH,Form 4,unknown,,Company
Diverse Development Group Inc.,NONE,Form 4,unknown,,Company
Clean Energy Fuels Corp.,CLNE,Form 4,Public Utilities,594141092.84,Company
"Minerva Neurosciences, Inc.",NERV,Form 4,Health Care,312915309.35,Company
AUTODESK INC,ADSK,Form 4,Technology,33591575265.68,Company
COEUR D ALENE MINES CORP,CDE,Form 4,Basic Industries,994164115.05,Company
Axalta Coating Systems Ltd.,AXTA,Form 4,Basic Industries,6203806822.8,Company
CENTURY BANCORP INC,CNBKA,Form 4,Finance,426835903.94,Company
CHEMUNG FINANCIAL CORP,CHMG,Form 4,Finance,228185000.0,Company
CABOT OIL & GAS CORP,COG,Form 4,Energy,10999081155.0,Company
CHEMICAL FINANCIAL CORP,CHFC,Form 4,Finance,3146487883.96,Company
BLACK HILLS CORP /SD/,BKH,Form 4,Public Utilities,4363488334.8,Company
"Northfield Bancorp, Inc.",NFBK,Form 4,Finance,726199683.64,Company
ROCKWELL COLLINS INC,COL,Form 4,unknown,,Company
CAPITAL SOUTHWEST CORP,CSWC,Form 4,unknown,,Company
ANDERSONS INC,ANDE,Form 4,Consumer Services,1149850000.0,Company
CHASE CORP,CCF,Form 4,Consumer Durables,890248204.08,Company
TECTON CORP,RGFR,Form 4,unknown,,Company
YP NET INC,YPNT,Form 4,unknown,,Company
GENCOR INDUSTRIES INC,GNCI,Form 4,unknown,,Company
"Customers Bancorp, Inc.",CUBI,Form 4,Finance,598301030.25,Company
WESTFIELD FINANCIAL INC,WFD,Form 4,unknown,,Company
KEWAUNEE SCIENTIFIC CORP /DE/,KEQU,Form 4,Capital Goods,57658542.6825,Company
FNB BANCORP/CA/,FNBG.OB,Form 4,unknown,,Company
Medtronic plc,MDT,Form 4,Health Care,124753863229.4,Company
Resonant Inc,RESN,Form 4,Technology,80189043.28,Company
ORBCOMM Inc.,ORBC,Form 4,Consumer Services,549397781.56,Company
JEWETT CAMERON TRADING CO LTD,JCTCF,Form 4,Consumer Services,34089423.04,Company
ALJ REGIONAL HOLDINGS INC,ALJJ,Form 4,Miscellaneous,64264675.15,Company
GREENBRIER COMPANIES INC,GBX,Form 4,Capital Goods,1225102528.44,Company
"Planet Fitness, Inc.",PLNT,Form 4,Consumer Services,6239432866.52,Company
"CAVIUM NETWORKS, INC.",CAVM,Form 4,unknown,,Company
"Zayo Group Holdings, Inc.",ZAYO,Form 4,Public Utilities,6726911791.2,Company
MARLIN BUSINESS SERVICES CORP,MRLN,Form 4,Finance,288864346.32,Company
"Medidata Solutions, Inc.",MDSO,Form 4,Technology,4640879431.8,Company
"TNP Strategic Retail Trust, Inc.",NAN,Form 4,unknown,,Company
ALNYLAM PHARMACEUTICALS INC,ALNY,Form 4,Health Care,9750257020.0,Company
RiverNorth Marketplace Lending Corp,[RMPLX],Form 4,unknown,,Company
"Spark Energy, Inc.",SPKE,Form 4,Public Utilities,315525104.16,Company
Clough Global Allocation Fund,GLV,Form 4,unknown,,Company
ADVENT CLAYMORE CONVERTIBLE SECURITIES & INCOME FUND,AVK,Form 4,unknown,,Company
Advent/Claymore Global Convertible Securities & Income Fund,AGC,Form 4,unknown,,Company
VIRTUSA CORP,VRTU,Form 4,Technology,1601953207.2,Company
"GULF ONSHORE, INC.",GFON.OB,Form 4,unknown,,Company
XEROX CORP,XRX,Form 4,Technology,7247870696.4,Company
PEOPLES HOLDING CO,PHC,Form 4,unknown,,Company
NETGEAR INC,NTGR,Form 4,Public Utilities,1131054701.8,Company
IDT CORP,IDT/IDT.C,Form 4,unknown,,Company
UNIFIRST CORP,UNF,Form 4,Consumer Services,2659933357.29,Company
BIOMERICA INC,BMRA.OB,Form 4,unknown,,Company
PROVIDENT FINANCIAL SERVICES INC,PFS,Form 4,Finance,1782167877.81,Company
GRAPHIC PACKAGING HOLDING CO,GPK,Form 4,Consumer Durables,3726811643.94,Company
WINNEBAGO INDUSTRIES INC,WGO,Form 4,unknown,,Company
"Pure Storage, Inc.",PSTG,Form 4,Technology,4965223945.35,Company
"GlyEco, Inc.",GLYE,Form 4,unknown,,Company
SCANA CORP,SCG,Form 4,unknown,,Company
IMERGENT INC,IMGG,Form 4,unknown,,Company
"Yum China Holdings, Inc.",YUMC,Form 4,Consumer Services,15541318796.0,Company
HALLIBURTON CO,HAL,Form 4,Energy,24867470997.0,Company
FLUOR CORP,FLR,Form 4,Basic Industries,5276030218.2,Company
CAL DIVE INTERNATIONAL INC,CDIS,Form 4,unknown,,Company
"WashingtonFirst Bankshares, Inc.",WFBI,Form 4,unknown,,Company
FIRST MIDWEST FINANCIAL INC,CASH,Form 4,Finance,775785422.88,Company
APOGEE ENTERPRISES INC,APOG,Form 4,Capital Goods,975611220.0,Company
TELEPHONE & DATA SYSTEMS INC /DE/,TDS,Form 4,Public Utilities,3645779517.0,Company
WILSON GREATBATCH TECHNOLOGIES INC,GB,Form 4,unknown,,Company
VISTAPRINT LTD,VPRT,Form 4,unknown,,Company
CITIZENS & NORTHERN CORP,CZNC.OB,Form 4,unknown,,Company
FARMERS NATIONAL BANC CORP /OH/,FMNB.OB,Form 4,unknown,,Company
SAGA COMMUNICATIONS INC,SGA,Form 4,Consumer Services,201006344.13,Company
CAMDEN NATIONAL CORP,CAC,Form 4,Finance,682458075.78,Company
Hydra Industries Acquisition Corp.,HDRA,Form 4,unknown,,Company
"Builders FirstSource, Inc.",BLDR,Form 4,Consumer Services,1568890777.6,Company
BLUEPHOENIX SOLUTIONS LTD,BPHX,Form 4,unknown,,Company
CONAGRA FOODS INC /DE/,CAG,Form 4,unknown,,Company
BLACKBAUD INC,BLKB,Form 4,Technology,3755786252.35,Company
PHOTRONICS INC,PLAB,Form 4,Technology,630881734.55,Company
CONDUENT Inc,CNDT,Form 4,Miscellaneous,3032250340.47,Company
"MINDBODY, Inc.",MB,Form 4,unknown,,Company
Kosmos Energy Ltd.,KOS,Form 4,Energy,2475725672.95,Company
AMICUS THERAPEUTICS INC,FOLD,Form 4,Health Care,3102841430.49,Company
"Marcus & Millichap, Inc.",MMI,Form 4,Finance,1499406104.48,Company
NEOPHOTONICS CORP,NPTN,Form 4,Technology,311987235.84,Company
FMC TECHNOLOGIES INC,FTI,Form 4,Energy,9857653842.0,Company
Zeltiq Aesthetics Inc,ZLTQ,Form 4,unknown,,Company
