:START_ID(Transaction),:END_ID(Company),:TYPE
0,IMDZ,FOR_COMPANY
1,HURC,FOR_COMPANY
2,HURC,FOR_COMPANY
3,HURC,FOR_COMPANY
4,HURC,FOR_COMPANY
5,HURC,FOR_COMPANY
6,HURC,FOR_COMPANY
7,LYV,FOR_COMPANY
8,LYV,FOR_COMPANY
9,LYV,FOR_COMPANY
10,DIS,FOR_COMPANY
11,DIS,FOR_COMPANY
12,FET,FOR_COMPANY
13,PAY,FOR_COMPANY
14,WATT,FOR_COMPANY
15,PAY,FOR_COMPANY
16,ALKS,FOR_COMPANY
17,ALKS,FOR_COMPANY
18,ALKS,FOR_COMPANY
19,PAY,FOR_COMPANY
20,XNWK,FOR_COMPANY
21,AVGO,FOR_COMPANY
22,NTRA,FOR_COMPANY
23,ILMN,FOR_COMPANY
24,ILMN,FOR_COMPANY
25,KIN,FOR_COMPANY
26,ADBE,FOR_COMPANY
27,WSTRF,FOR_COMPANY
28,ALK,FOR_COMPANY
29,ALK,FOR_COMPANY
30,ALK,FOR_COMPANY
31,DLR,FOR_COMPANY
32,ALKS,FOR_COMPANY
33,ALKS,FOR_COMPANY
34,ALKS,FOR_COMPANY
35,UIS,FOR_COMPANY
36,PICO,FOR_COMPANY
37,ALKS,FOR_COMPANY
38,ALKS,FOR_COMPANY
39,ALKS,FOR_COMPANY
40,HCCI,FOR_COMPANY
41,RSPP,FOR_COMPANY
42,CDZI,FOR_COMPANY
43,TLYS,FOR_COMPANY
44,MNK,FOR_COMPANY
45,HCCI,FOR_COMPANY
46,HCCI,FOR_COMPANY
47,MNK,FOR_COMPANY
48,KRC,FOR_COMPANY
49,KRC,FOR_COMPANY
50,KRC,FOR_COMPANY
51,KRC,FOR_COMPANY
52,SNX,FOR_COMPANY
53,PTCT,FOR_COMPANY
54,SUM,FOR_COMPANY
55,JLLM,FOR_COMPANY
56,SHAK,FOR_COMPANY
57,ACN,FOR_COMPANY
58,ACN,FOR_COMPANY
59,TYBR,FOR_COMPANY
60,FFBC,FOR_COMPANY
61,ACN,FOR_COMPANY
62,ACN,FOR_COMPANY
63,ACN,FOR_COMPANY
64,ACN,FOR_COMPANY
65,ACN,FOR_COMPANY
66,ACN,FOR_COMPANY
67,DTLK,FOR_COMPANY
68,DTLK,FOR_COMPANY
69,DTLK,FOR_COMPANY
70,DTLK,FOR_COMPANY
71,DTLK,FOR_COMPANY
72,DTLK,FOR_COMPANY
73,DTLK,FOR_COMPANY
74,DTLK,FOR_COMPANY
75,DTLK,FOR_COMPANY
76,DTLK,FOR_COMPANY
77,DTLK,FOR_COMPANY
78,DTLK,FOR_COMPANY
79,ALKS,FOR_COMPANY
80,JLLM,FOR_COMPANY
81,NU,FOR_COMPANY
82,NSL,FOR_COMPANY
83,PNR,FOR_COMPANY
84,GSTL,FOR_COMPANY
85,PFNX,FOR_COMPANY
86,PFNX,FOR_COMPANY
87,PNR,FOR_COMPANY
88,PNR,FOR_COMPANY
89,[NONE],FOR_COMPANY
90,PNR,FOR_COMPANY
91,(CPT),FOR_COMPANY
92,(CPT),FOR_COMPANY
93,LUCE,FOR_COMPANY
94,CEMP,FOR_COMPANY
95,IRMD,FOR_COMPANY
96,COUP,FOR_COMPANY
97,KBLH,FOR_COMPANY
98,IRMD,FOR_COMPANY
99,NONE,FOR_COMPANY
100,NONE,FOR_COMPANY
101,CLNE,FOR_COMPANY
102,NERV,FOR_COMPANY
103,ADSK,FOR_COMPANY
104,CDE,FOR_COMPANY
105,AXTA,FOR_COMPANY
106,CNBKA,FOR_COMPANY
107,CHMG,FOR_COMPANY
108,TYBR,FOR_COMPANY
109,COG,FOR_COMPANY
110,CHFC,FOR_COMPANY
111,BKH,FOR_COMPANY
112,NFBK,FOR_COMPANY
113,NFBK,FOR_COMPANY
114,NFBK,FOR_COMPANY
115,NFBK,FOR_COMPANY
116,NFBK,FOR_COMPANY
117,NFBK,FOR_COMPANY
118,NFBK,FOR_COMPANY
119,NFBK,FOR_COMPANY
120,NFBK,FOR_COMPANY
121,CHFC,FOR_COMPANY
122,COL,FOR_COMPANY
123,CSWC,FOR_COMPANY
124,CHFC,FOR_COMPANY
125,CSWC,FOR_COMPANY
126,ANDE,FOR_COMPANY
127,ANDE,FOR_COMPANY
128,CCF,FOR_COMPANY
129,ANDE,FOR_COMPANY
130,ANDE,FOR_COMPANY
131,ANDE,FOR_COMPANY
132,ANDE,FOR_COMPANY
133,RGFR,FOR_COMPANY
134,YPNT,FOR_COMPANY
135,YPNT,FOR_COMPANY
136,YPNT,FOR_COMPANY
137,YPNT,FOR_COMPANY
138,GNCI,FOR_COMPANY
139,FFBC,FOR_COMPANY
140,CUBI,FOR_COMPANY
141,WFD,FOR_COMPANY
142,KEQU,FOR_COMPANY
143,WFD,FOR_COMPANY
144,WFD,FOR_COMPANY
145,FNBG.OB,FOR_COMPANY
146,MDT,FOR_COMPANY
147,FFBC,FOR_COMPANY
148,RESN,FOR_COMPANY
149,ORBC,FOR_COMPANY
150,HURC,FOR_COMPANY
151,HURC,FOR_COMPANY
152,HURC,FOR_COMPANY
153,HURC,FOR_COMPANY
154,HURC,FOR_COMPANY
155,HURC,FOR_COMPANY
156,LYV,FOR_COMPANY
157,LYV,FOR_COMPANY
158,LYV,FOR_COMPANY
159,LYV,FOR_COMPANY
160,DIS,FOR_COMPANY
161,FET,FOR_COMPANY
162,FET,FOR_COMPANY
163,PAY,FOR_COMPANY
164,JCTCF,FOR_COMPANY
165,PAY,FOR_COMPANY
166,ALKS,FOR_COMPANY
167,ALKS,FOR_COMPANY
168,ALKS,FOR_COMPANY
169,ALJJ,FOR_COMPANY
170,XNWK,FOR_COMPANY
171,AVGO,FOR_COMPANY
172,GBX,FOR_COMPANY
173,ILMN,FOR_COMPANY
174,KIN,FOR_COMPANY
175,KIN,FOR_COMPANY
176,WSTRF,FOR_COMPANY
177,WSTRF,FOR_COMPANY
178,ALK,FOR_COMPANY
179,ALK,FOR_COMPANY
180,DLR,FOR_COMPANY
181,CDZI,FOR_COMPANY
182,ALKS,FOR_COMPANY
183,ALKS,FOR_COMPANY
184,ALKS,FOR_COMPANY
185,PICO,FOR_COMPANY
186,ALKS,FOR_COMPANY
187,ALKS,FOR_COMPANY
188,ALKS,FOR_COMPANY
189,ALKS,FOR_COMPANY
190,HCCI,FOR_COMPANY
191,RSPP,FOR_COMPANY
192,TLYS,FOR_COMPANY
193,PLNT,FOR_COMPANY
194,HCCI,FOR_COMPANY
195,HCCI,FOR_COMPANY
196,HCCI,FOR_COMPANY
197,KRC,FOR_COMPANY
198,KRC,FOR_COMPANY
199,KRC,FOR_COMPANY
200,CAVM,FOR_COMPANY
201,MNK,FOR_COMPANY
202,MNK,FOR_COMPANY
203,MNK,FOR_COMPANY
204,SUM,FOR_COMPANY
205,JLLM,FOR_COMPANY
206,ACN,FOR_COMPANY
207,ACN,FOR_COMPANY
208,ACN,FOR_COMPANY
209,ACN,FOR_COMPANY
210,ACN,FOR_COMPANY
211,ACN,FOR_COMPANY
212,ACN,FOR_COMPANY
