transactionId:ID(Transaction),transactionType,transactionDate:date,acceptanceDateTime:datetime,reportingOwnerRelationship,transactionShare:double,pricePerShare:double,totalValue:double,sharesOwnedFollowingTransaction:double,:LABEL
0,Sell,2017-01-04,2017-01-06T20:57:22, officer,1642.0,5.35,8784.7,30490.0,Transaction
1,Sell,2017-01-05,2017-01-06T20:46:33, officer,2966.0,33.9,100547.0,28839.0,Transaction
2,Sell,2017-01-06,2017-01-06T20:46:02, officer,234.0,33.7,7885.8,17353.0,Transaction
3,Sell,2017-01-04,2017-01-06T20:46:02, officer,372.0,34.3,12759.6,12836.0,Transaction
4,Sell,2017-01-05,2017-01-06T20:45:30, officer,1018.0,33.9,34510.2,12689.0,Transaction
5,Sell,2017-01-06,2017-01-06T20:44:34, officer,523.0,33.7,17625.1,98740.0,Transaction
6,Sell,2017-01-05,2017-01-06T20:44:34, officer,4944.0,33.9,167602.0,99263.0,Transaction
7,Sell,2017-01-05,2017-01-06T20:28:43, director officer,50000.0,27.5,1375000.0,766196.0,Transaction
8,Buy,2017-01-04,2017-01-06T20:28:43, director officer,40000.0,24.95,998000.0,806196.0,Transaction
9,Buy,2017-01-06,2017-01-06T20:28:43, director officer,40000.0,24.95,998000.0,806196.0,Transaction
10,Sell,2017-01-06,2017-01-06T20:00:58, officer,2000.0,31.12,62240.0,17000.0,Transaction
11,Sell,2017-01-06,2017-01-06T20:00:58, officer,2000.0,108.5,217000.0,25745.0,Transaction
12,Buy,2017-01-04,2017-01-06T19:57:14, officer,9716.0,7.68,74618.9,302738.0,Transaction
13,Sell,2017-01-04,2017-01-06T19:55:20, officer,3698.0,18.6,68782.8,146675.0,Transaction
14,Sell,2017-01-06,2017-01-06T19:49:54, director,14651.0,16.932,248071.0,46504.0,Transaction
15,Sell,2017-01-04,2017-01-06T19:44:42, officer,2913.0,18.6,54181.8,114619.0,Transaction
16,Buy,2017-01-04,2017-01-06T19:32:39, officer,2500.0,17.3,43250.0,36615.0,Transaction
17,Buy,2017-01-05,2017-01-06T19:32:39, officer,300.0,17.3,5190.0,34415.0,Transaction
18,Sell,2017-01-05,2017-01-06T19:32:39, officer,300.0,60.0866,18026.0,34115.0,Transaction
19,Sell,2017-01-04,2017-01-06T19:31:39,,1719.0,18.6,31973.4,10203.0,Transaction
20,Buy,2017-01-05,2017-01-06T19:21:41, director,29200.0,2.46,71832.0,58647.0,Transaction
