:START_ID(Transaction),:END_ID(Company),:TYPE
20000,CY,FOR_COMPANY
20001,ROK,FOR_COMPANY
20002,GAMPR,FOR_COMPANY
20003,MNRO,FOR_COMPANY
20004,MNRO,FOR_COMPANY
20005,MNRO,FOR_COMPANY
20006,MNRO,FOR_COMPANY
20007,MNRO,FOR_COMPANY
20008,ED,FOR_COMPANY
20009,ALXN,FOR_COMPANY
20010,ELON,FOR_COMPANY
20011,ELON,FOR_COMPANY
20012,MMI,FOR_COMPANY
20013,MMI,FOR_COMPANY
20014,ASH,FOR_COMPANY
20015,NCS,FOR_COMPANY
20016,NCS,FOR_COMPANY
20017,NCS,FOR_COMPANY
20018,NCS,FOR_COMPANY
20019,CDZI,FOR_COMPANY
20020,ELLI,FOR_COMPANY
20021,AGM,FOR_COMPANY
20022,AGM,FOR_COMPANY
20023,AGM,FOR_COMPANY
20024,AGM,FOR_COMPANY
20025,ITT,FOR_COMPANY
20026,ITT,FOR_COMPANY
20027,SNBC,FOR_COMPANY
20028,GSTL,FOR_COMPANY
20029,GSTL,FOR_COMPANY
20030,NWBI,FOR_COMPANY
20031,NWBI,FOR_COMPANY
20032,NWBI,FOR_COMPANY
20033,MMA,FOR_COMPANY
20034,UNTY,FOR_COMPANY
20035,KFS,FOR_COMPANY
20036,ASCMA,FOR_COMPANY
20037,PNFP,FOR_COMPANY
20038,BLVD,FOR_COMPANY
20039,TEL,FOR_COMPANY
20040,TEL,FOR_COMPANY
20041,MLI,FOR_COMPANY
20042,MLI,FOR_COMPANY
20043,TEL,FOR_COMPANY
20044,TEL,FOR_COMPANY
20045,TEL,FOR_COMPANY
20046,ASCMA,FOR_COMPANY
20047,ASCMA,FOR_COMPANY
20048,TEL,FOR_COMPANY
20049,TEL,FOR_COMPANY
20050,TEL,FOR_COMPANY
20051,CSRA,FOR_COMPANY
20052,PNFP,FOR_COMPANY
20053,CW,FOR_COMPANY
20054,MTZ,FOR_COMPANY
20055,CW,FOR_COMPANY
20056,CMC,FOR_COMPANY
20057,MRCY,FOR_COMPANY
20058,MRCY,FOR_COMPANY
20059,CW,FOR_COMPANY
20060,CW,FOR_COMPANY
20061,RDYN,FOR_COMPANY
20062,CW,FOR_COMPANY
20063,CHMG,FOR_COMPANY
20064,VVUS,FOR_COMPANY
20065,AGIO,FOR_COMPANY
20066,AGIO,FOR_COMPANY
20067,EQM,FOR_COMPANY
20068,GRUB,FOR_COMPANY
20069,SLB,FOR_COMPANY
20070,MMC,FOR_COMPANY
20071,(HOLX),FOR_COMPANY
20072,GRUB,FOR_COMPANY
20073,TXN,FOR_COMPANY
20074,BPFH,FOR_COMPANY
20075,IBM,FOR_COMPANY
20076,MMC,FOR_COMPANY
20077,TINY,FOR_COMPANY
20078,BPFH,FOR_COMPANY
20079,BPFH,FOR_COMPANY
20080,ATRC,FOR_COMPANY
20081,BPFH,FOR_COMPANY
20082,MTB,FOR_COMPANY
20083,MTB,FOR_COMPANY
20084,IBM,FOR_COMPANY
20085,BPFH,FOR_COMPANY
20086,WSCU,FOR_COMPANY
20087,NAN,FOR_COMPANY
20088,NAN,FOR_COMPANY
